,target_name_x,accession_1_x,query_name_x,accession_2_x,E-value_1_x,score_1_x,bias_1_x,E-value_2_x,score_2_x,bias_2_x,exp_x,reg_x,clu_x,ov_x,env_x,dom_x,rep_x,inc_x,description_x,TC,new_encoded_TC_2,accession_code,subfamilies,target_name_y,accession_1_y,query_name_y,accession_2_y,E-value_1_y,score_1_y,bias_1_y,E-value_2_y,score_2_y,bias_2_y,exp_y,reg_y,clu_y,ov_y,env_y,dom_y,rep_y,inc_y,description_y,D_classes,host,Names
0,sp|A0A0U3DL17|DPOL1_BPKIM,-,cluster_16,-,1.3e-36,126.0,0.7,8.2e-36,123.4,0.4,2.1,1,1,1,2,2,2,1,"Depolymerase 1, capsule K47-specific OS=Klebsiella phage vB_KpnP_IME205 OX=1770232 PE=1 SV=1",TC16,TC16,A0A0U3DL17,Autographiviridae,sp|A0A0U3DL17|DPOL1_BPKIM,-,cluster_D66,-,8.5e-32,110.0,0.4,1.9e-31,108.9,0.4,1.6,1,0,0,1,1,1,1,"Depolymerase 1, capsule K47-specific OS=Klebsiella phage vB_KpnP_IME205 OX=1770232 PE=1 SV=1",D66,Klebsiella,Klebsiella phage vB_KpnP_IME205
1,sp|A0A219YHC0|DPOL1_BPK52,-,cluster_16,-,1.7e-36,125.7,0.6,1.7e-36,125.7,0.6,1.5,2,0,0,2,2,1,1,"Depolymerase 1, capsule K30/K69-specific OS=Klebsiella phage K5-2 OX=1932361 GN=k52_037 PE=3 SV=1",TC16,TC16,A0A219YHC0,Autographiviridae,sp|A0A219YHC0|DPOL1_BPK52,-,cluster_D66,-,1.3000000000000001e-32,112.6,1.3,5.5e-32,110.6,0.7,2.3,2,0,0,2,2,1,1,"Depolymerase 1, capsule K30/K69-specific OS=Klebsiella phage K5-2 OX=1932361 GN=k52_037 PE=3 SV=1",D66,Klebsiella,Klebsiella phage K5-2
2,sp|A0A219YHG0|DPOL1_BPK54,-,cluster_16,-,2.4e-36,125.2,0.5,4.6e-36,124.3,0.5,1.4,1,0,0,1,1,1,1,"Depolymerase 1, capsule K8-specific OS=Klebsiella phage K5-4 OX=1932362 GN=k54_037 PE=3 SV=1",TC16,TC16,A0A219YHG0,Autographiviridae,sp|A0A219YHG0|DPOL1_BPK54,-,cluster_D66,-,2.6000000000000003e-32,111.6,0.5,5.5e-32,110.6,0.5,1.6,1,0,0,1,1,1,1,"Depolymerase 1, capsule K8-specific OS=Klebsiella phage K5-4 OX=1932362 GN=k54_037 PE=3 SV=1",D66,Klebsiella,Klebsiella phage K5-4
3,sp|A0A3S5IBH4|DEPOL_BPKN1,-,cluster_16,-,1.5e-36,125.9,0.2,1.5e-36,125.9,0.2,1.7,2,0,0,2,2,1,1,"Depolymerase, capsule KN1-specific OS=Klebsiella phage KN1-1 OX=2282629 PE=3 SV=1",TC16,TC16,A0A3S5IBH4,Autographiviridae,sp|A0A3S5IBH4|DEPOL_BPKN1,-,cluster_D66,-,6.2e-31,107.2,0.1,1.5000000000000001e-30,106.0,0.1,1.7,1,0,0,1,1,1,1,"Depolymerase, capsule KN1-specific OS=Klebsiella phage KN1-1 OX=2282629 PE=3 SV=1",D66,Klebsiella,Klebsiella phage KN1-1
4,sp|A0A3T0ZBY1|DPOL1_BPK31,-,cluster_16,-,2.9e-36,124.9,0.3,4.6e-36,124.3,0.3,1.3,1,0,0,1,1,1,1,"Depolymerase 1, capsule KN3-specific OS=Klebsiella phage KN3-1 OX=2282630 PE=3 SV=1",TC16,TC16,A0A3T0ZBY1,Autographiviridae,sp|A0A3T0ZBY1|DPOL1_BPK31,-,cluster_D66,-,5.200000000000001e-32,110.7,2.2,1.3e-31,109.4,0.4,2.5,3,0,0,3,3,1,1,"Depolymerase 1, capsule KN3-specific OS=Klebsiella phage KN3-1 OX=2282630 PE=3 SV=1",D66,Klebsiella,Klebsiella phage KN3-1
5,sp|A0A3T0ZBZ8|DEPOL_BPK41,-,cluster_16,-,6.9e-38,130.3,0.2,9.8e-38,129.8,0.2,1.1,1,0,0,1,1,1,1,"Depolymerase, capsule KN4-specific OS=Klebsiella phage KN4-1 OX=2282631 PE=3 SV=1",TC16,TC16,A0A3T0ZBZ8,Autographiviridae,sp|A0A3T0ZBZ8|DEPOL_BPK41,-,cluster_D66,-,7.9e-33,113.3,0.3,9.100000000000001e-32,109.9,0.4,2.6,3,0,0,3,3,1,1,"Depolymerase, capsule KN4-specific OS=Klebsiella phage KN4-1 OX=2282631 PE=3 SV=1",D66,Klebsiella,Klebsiella phage KN4-1
6,sp|A0A5P1KKQ4|DEPOL_BPK15,-,cluster_16,-,1.9e-37,128.8,0.7,1.4e-36,126.0,0.4,2.1,1,1,1,2,2,2,1,"Depolymerase, capsule K47-specific OS=Klebsiella phage SH-KP152226 OX=2590872 GN=SHKP152226_42 PE=1",TC16,TC16,A0A5P1KKQ4,Autographiviridae,sp|A0A5P1KKQ4|DEPOL_BPK15,-,cluster_D66,-,1.9999999999999998e-32,112.1,0.4,4.4e-32,110.9,0.4,1.6,1,0,0,1,1,1,1,"Depolymerase, capsule K47-specific OS=Klebsiella phage SH-KP152226 OX=2590872 GN=SHKP152226_42 PE=1",D66,Klebsiella,Klebsiella phage SH-KP152226
7,sp|A0A7S6R611|DEPOL_BPK56,-,cluster_16,-,5.8e-37,127.2,0.8,5e-36,124.2,0.4,2.1,1,1,1,2,2,2,1,"Depolymerase, capsule KL47-specific OS=Klebsiella phage P560 OX=2777230 GN=ORF43 PE=3 SV=1",TC16,TC16,A0A7S6R611,Autographiviridae,sp|A0A7S6R611|DEPOL_BPK56,-,cluster_D66,-,6.5e-32,110.4,0.4,1.9e-31,108.8,0.4,1.9,1,0,0,1,1,1,1,"Depolymerase, capsule KL47-specific OS=Klebsiella phage P560 OX=2777230 GN=ORF43 PE=3 SV=1",D66,Klebsiella,Klebsiella phage P560
8,sp|A0A7S6R613|DEPOL_BPK51,-,cluster_16,-,6.500000000000001e-33,113.9,2.0,6.500000000000001e-33,113.9,2.0,1.5,2,0,0,2,2,1,1,"Depolymerase, capsule KL64-specific OS=Klebsiella phage P510 OX=2777229 GN=ORF38 PE=3 SV=1",TC16,TC16TC10,A0A7S6R613,Autographiviridae,sp|A0A7S6R613|DEPOL_BPK51,-,cluster_D66,-,1.8000000000000002e-28,99.3,0.7,5.7e-28,97.7,0.7,1.9,1,0,0,1,1,1,1,"Depolymerase, capsule KL64-specific OS=Klebsiella phage P510 OX=2777229 GN=ORF38 PE=3 SV=1",D66,Klebsiella,Klebsiella phage P510
9,sp|B0FIH7|FIB11_BPE32,-,cluster_15,-,1.5999999999999998e-25,89.0,9.9,2.9e-18,65.1,6.3,3.1,2,1,0,2,2,2,2,Probable tail fiber protein OS=Escherichia phage Phieco32 OX=2679905 GN=phi32_15 PE=4 SV=1,TC15,TC15TC7,B0FIH7,Gordonclarkvirinae,sp|B0FIH7|FIB11_BPE32,-,cluster_D12,-,2.9e-17,62.5,0.4,5.6e-17,61.6,0.4,1.5,1,0,0,1,1,1,1,Probable tail fiber protein OS=Escherichia phage Phieco32 OX=2679905 GN=phi32_15 PE=4 SV=1,D12,Escherichia,Escherichia phage Phieco32
